fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,20d5d32f-18be-4c12-a4bc-0adbc02717b1,10543,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,Copper carbonate (blue),
,c9052b7c-ff70-41bd-b517-ca23d304216f,10545,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,CuCO3-Cu(OH)2,Copper carbonate (green),
,d0f531e4-a880-4ffa-bbeb-e7e560f2ea09,10546,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,CaCO3,Calcium carbonate,
,565964d1-01f4-4a7d-8aee-5345deb51a32,10548,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,Copper carbonate (blue),
,6491f982-cd9c-4a5b-8280-937da33a3560,10549,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3,Iron Oxide,
,a1199004-3a5b-4360-9114-bab564feaf0d,10550,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,CuCO3-Cu(OH)2,Copper carbonate (green),
,4c7df7eb-f06b-492c-9328-23f935530f0a,10552,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,AsS or As4S4,arsenic disulfide,
,03d08aa5-9f04-4f06-a703-771f5fac50ac,10570,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,Copper carbonate (blue),
,328d6b8a-e2b3-4234-8a1f-8fd1ad9a3c81,10572,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,CuCO3-Cu(OH)2,Copper carbonate (green),
,813f90a1-6257-48a2-a720-610c06f35207,10573,RAWI,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,Copper carbonate (blue),
,c2243007-51f7-4996-9b61-462b09ed6e10,10820,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,37d46052-81b1-4ee5-a733-c543b52b954c,10823,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,965f801d-2dbf-41f4-bcb3-61a33548abb7,10824,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,167de22e-4e92-4a9b-8989-33d17fd1d509,10825,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,04c796fe-b972-4b99-a3f5-c7e450875eb2,10826,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,00077780-1e3e-4146-b26c-c4fb71b104f9,10827,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,adf058d5-8f7f-4975-b89a-c6f79b43855b,10828,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,3ab14843-a3a0-4bc0-b90c-70c17d9430a7,10843,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,6bc4cacb-7daa-4a33-ac88-35ab8cd15355,10846,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,94a1ce20-1766-4a82-91b7-8f63e84c7b1c,10855,DYE,(No CAS No. Provided),(No CAS No. Provided),,,,,C27H25N4(SO4)1/2,amino-phenylamino-p-tolyl ditolazonium sulfate,
,a29f0345-3cee-4a9b-8381-c270dfedb3c0,10856,DYE,(No CAS No. Provided),(No CAS No. Provided),,,,,C27H25N4(SO4)1/2,amino-phenylamino-p-tolyl ditolazonium sulfate,
,999c4949-0aed-49dc-a923-03ff24a15676,10865,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carboante (blue),
,50772618-dc38-478b-ab32-89f1edd1c1d2,10866,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3.Cu(OH)2,basic copper carbonate,
,ca838048-22e0-46c0-a944-b7b0a2f6e8e9,10867,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,Copper carbonate (blue),
,ce5720d2-528b-4ee8-942d-1f2033c70395,10869,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
,1fc2a634-02a1-4164-8079-62166d173bb4,10870,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
,23b946fe-00de-4bb3-b998-97c1cc06b6a1,10871,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"K, Al, Co silicate",(No chemical name provided),
,a5b54310-5c79-4303-bf3a-c7f72171739e,10873,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,09fdc99c-40c7-4ad0-a798-4f4cb4f4d133,10875,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,d2813732-d972-4a69-befe-4731f7d03f26,10877,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,6b6bdf9c-a214-41dd-a0a7-69bef89f01f8,10879,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,d743a4b0-a9b7-4bf1-b61f-02820acfc5bb,10880,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"K, Al, Co silicate",(No chemical name provided),
,82585183-f116-4a2b-a2c4-37fceaeaf5d6,10882,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,5ab04bee-43fe-4f09-8cee-b607d4925188,10889,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
,c1d66f6c-bcc5-4629-aa77-83fd6bbba8d8,10891,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
,77daa223-bfdb-450a-b00a-399bd389f021,10892,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
,f985e37a-7e2d-4ae6-9d01-c5c58b043d39,10893,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2  and CuCO3-Cu(OH)2,copper carbonate (blue and green),
,9cae62dc-1cea-4169-9401-0bcff17239a4,10895,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,809ea17a-a8eb-4ec1-a058-5431a7cfb422,10898,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,2CuCO3-Cu(OH)2,copper carbonate (blue),
