rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
01759cd0-f392-4299-9265-432c561e075d,,,Fabric / Textile,,,textile materials,,"[""textile materials""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0175f298-5982-458b-9cfa-f907662cfc1c,,,Oil,Vehicle / Solvent,,oil (organic material),,"[""oil (organic material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01825d58-d4c9-4ccd-964f-adccf52c8e14,,,Pigment,Colorant,,pigments,,"[""pigments""]",natural,multi-component mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01863299-1d83-44a7-862e-c50fcf3fb615,,,,,,,,,,,,,,,,,,,,,,,,,,,Linseed Oil (Kremer Pigmente),,,30.909,Gram,Mass,(No note),Rabbit Skin Glue (Kremer Pigmente),,,0.054,Gram,Mass,(No note),,,,,,,
018d7161-c6b4-49f9-9d6f-b30896163815,,,"Paint, tempera",Colorant,,tempera,,"[""tempera""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01924205-293a-4bf0-a84b-bb38d1e102a9,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196a4fd-3e8d-4bca-b200-075447e1e94e,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0198996c-989c-421e-91d3-53af0148faf6,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019b7ed2-e49e-471d-b2fe-27ed3c209636,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019bbe0c-a1e6-4d73-87cf-de4289f92fb2,Tsuga canadensis,https://www.gbif.org/species/2687182,Wood,,Tsuga canadensis (https://www.gbif.org/species/2687182),wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01a3841d-f0eb-42d7-9416-0f38020a5451,,,"Paint, gouache",Colorant,,gouache (paint),,"[""gouache (paint)""]",,organic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01a7e45a-4091-474a-b3e7-064685f74dc5,,,"Paint, oil-based",Colorant,,oil paint (paint),,"[""oil paint (paint)""]",,organic - organic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01a9b476-718a-458e-ae40-51150d9cea3f,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01adbe09-144b-4bbe-b8db-98edfe6586a0,,,Natural Resin,Binding Medium,,natural resin,,"[""natural resin""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01ae0b50-cf52-42ad-b322-2bd97bd650f6,,,"Paint, watercolor",Colorant,,watercolor (paint),,"[""watercolor (paint)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b383f5-c6cd-47a1-aa44-c77cd53c386c,,,Photographic Paper,Photography,,photographic paper,,"[""photographic paper""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b5ee3a-13d0-4533-8066-4699f7e14722,,,Natural Resin,Binding Medium,,natural resin,,"[""natural resin""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
