resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,tileid,facet_type,facet_type_metatype,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_
00a0b57a-bb01-40e4-bdad-f87ec946f5ee,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,99070b64-ad58-4d32-b8b2-de6c9615df64,"{""en"": {""value"": ""Surinam virola"", ""direction"": ""ltr""}}",[],[],8e5aaa86-8777-4db4-9514-1dc065d4db90,"{""en"": {""value"": ""10041"", ""direction"": ""ltr""}}",[],1b20816f-87c9-44d0-877e-80531b4392e3,[],[],,,,
bed88123-1f14-4e10-b431-242186d131c8,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,de1609a9-22da-45a0-9900-4cf88aa1fbe7,"{""en"": {""value"": ""Flowering dogwood"", ""direction"": ""ltr""}}",[],[],7e30e0a4-eccd-4a1d-a302-e84d4dec1676,"{""en"": {""value"": ""10042"", ""direction"": ""ltr""}}",[],e27c424c-8e9e-4f68-99a8-abb42f25f2a6,[],[],,,,
17177328-640c-48c4-8d02-513e4e3d7757,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,37597af2-c151-4666-a793-e29663a3395a,"{""en"": {""value"": ""Lauan, White"", ""direction"": ""ltr""}}",[],[],19ea0c4d-1423-4347-b3d8-9117cfb257be,"{""en"": {""value"": ""10043"", ""direction"": ""ltr""}}",[],e12d50e7-ad1e-4cee-8fc0-2165705d565b,[],[],,,,
d043a400-8bb1-4b03-9e86-73d1985b51ce,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,4a14fbb7-830d-4b6b-a2e2-114b90882395,"{""en"": {""value"": ""Lauan, Red"", ""direction"": ""ltr""}}",[],[],c5edb9ac-7e38-477f-9785-b51dcd0a60d6,"{""en"": {""value"": ""10044"", ""direction"": ""ltr""}}",[],0d7297b5-6fcd-4d5d-9b83-f4c15150b27b,[],[],,,,
f61eaf44-6c9d-4cb8-9a87-dca9066ae0cc,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fcc1d4d2-dcd7-434d-833a-b6ddac411707,"{""en"": {""value"": ""White cedar, Northern"", ""direction"": ""ltr""}}",[],[],f9a29ddf-1f65-4df9-8bbd-ed7312acd3b1,"{""en"": {""value"": ""10045"", ""direction"": ""ltr""}}",[],77237062-3abf-4085-a4f7-f305cdcfd35a,[],[],,,,
1890b9fa-482b-4038-b2ca-0355e2819cce,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f07efb39-748a-4dcc-a7f8-43d2263dbeab,"{""en"": {""value"": ""Holly, American"", ""direction"": ""ltr""}}",[],[],18ef4d8b-7ad0-4184-9061-1f387ac596f1,"{""en"": {""value"": ""10046"", ""direction"": ""ltr""}}",[],59035846-7e4d-4396-a4ac-543ea0b1bff1,[],[],,,,
3aa4d330-1d4c-47ed-8aa6-dbf96904c5fe,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,5a809c76-b6ae-4b91-8984-c24f20d16039,"{""en"": {""value"": ""Persimmon, Common"", ""direction"": ""ltr""}}",[],[],391b4dda-b312-4510-9bf0-60e08e09d50b,"{""en"": {""value"": ""10047"", ""direction"": ""ltr""}}",[],618087c4-7520-457f-b5a4-fd1731581b34,[],[],,,,
59a67964-fa16-44b7-8a9b-71f24e1bd0fe,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2e3dd121-9278-46ed-875c-90ebd846096e,"{""en"": {""value"": ""Sweetbay Magnolia"", ""direction"": ""ltr""}}",[],[],fbdf72bb-037c-4a4d-9d73-f4767c2177c0,"{""en"": {""value"": ""10048"", ""direction"": ""ltr""}}",[],5df796f5-cd0a-4eb8-a2b4-96de30982b5e,[],[],,,,
aa649532-f7e6-420e-ad69-4cdd5316b007,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6daf9d79-3a1c-4523-929d-17ed512f0116,"{""en"": {""value"": ""Pine, Red"", ""direction"": ""ltr""}}",[],[],fd374b56-51bd-4f46-93a9-056fc75f2d07,"{""en"": {""value"": ""10049"", ""direction"": ""ltr""}}",[],25d8c83a-9eec-4eee-8af8-699bff42400d,[],[],,,,
1ee92b66-37fa-44d6-9c28-8e80c20afdd8,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,d9dd865f-4a02-4ce8-833a-cc56e0aca5eb,"{""en"": {""value"": ""Hophornbeam, Eastern"", ""direction"": ""ltr""}}",[],[],54ed167d-ee5c-425e-96c9-e2b76f48e8cd,"{""en"": {""value"": ""10050"", ""direction"": ""ltr""}}",[],e67ec519-73cc-4090-9225-e74fb8698b3b,[],[],,,,
