rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
8b2431a5-caeb-4687-bc64-5a84aadb3843,,,,,,,,,,,,
4c690942-89c5-4d2f-9c76-71e9530379a3,,,,,,,,,,,,
9e62142c-dac5-4fce-9764-a858c0cda0fa,,,,,,,,,,,,
2d16ba22-63e2-4c54-a196-955894424db3,,,,,,,,,,,,
4a123fe7-4752-4d90-877e-8b96d59f7eaa,,,,,,,,,,,,
4a6cee0e-3738-4420-8311-54bcd5c965b7,,,,,,,,,,,,
2b857114-4481-4746-819b-14eb543cef62,,,,,,,,,,,,
37b7363a-ba94-4c11-9294-03c0768478c2,,,,,,,,,,,,
bc8d5131-62c8-4084-8c53-04ed7b5eb948,,,,,,,,,,,,
a59b07cf-a035-421c-92a2-2808c92fbcd9,,,,,,,,,,,,
423c017a-b593-47c5-99ec-04a5b3a5ad1b,,,,,,,,,,,,
bc8dae24-8fcd-4b47-bc58-7616bda63de2,,,,,,,,,,,,
e3cbe024-1cf7-48e5-b6d3-19094827a9c8,,,,,,,,,,,,
36b5daef-f52f-4869-91a2-59c8a2612e7f,,,,,,,,,,,,
b5c8f833-ad91-44c6-955b-d5bcf9a7b442,,,,,,,,,,,,
0973d0db-dd8e-4d98-84d8-0fb52d03af74,,,,,,,,,,,,
5637b28b-484d-4ff3-aaf0-6eb4fe285663,,,,,,,,,,,,
725f38e1-5c52-4776-bfe2-47d3cd27b3b9,,,,,,,,,,,,
21b23ec8-149d-4d70-81f3-6665fd2b909d,,,,,,,,,,,,
c5e4c990-c3dd-401b-aa2d-29a355e2780d,,,,,,,,,,,,
55cea20a-f991-4c30-9b13-f78aaab43303,,,,,,,,,,,,
f7d7384f-de54-4af4-8a5b-857fc537139b,,,,,,,,,,,,
06bc1301-699b-48c2-b90b-b72c4872b631,,,,,,,,,,,,
33ef74dd-4a79-42fd-b10c-07a0b3c815cd,,,,,,,,,,,,
fb8f6dd7-44fa-497f-86e1-5e8d0a07f293,,,,,,,,,,,,
