resourceinstanceid,graphid,graphpublicationid,principaluser_id,chem_tileid,chem_material_data_assignment_name_content,chem_nodegroupid,chem_material_data_assignment_name_type,chem_material_data_assignment_name_language
a1d6b2ff-ef34-408b-8a90-e3ca21327267,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,65c1e9d3-0984-4399-a636-b5aa9c265eff,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
36b2ffcc-502d-46b6-b151-fea1f31e74c9,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0ee1be59-6894-490f-9017-4dcebef92c26,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
b7d03e97-76b8-4805-a7f8-2e0e56bf583e,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e5343f9c-d94f-4cb6-92d3-120b6d1e1502,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
d9a4be1d-39a5-4460-a76c-0a06197d7131,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a9bb78f1-685a-4fc5-96da-cff48f792c9a,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
55edbe8e-e4fd-4b99-be9a-18a68b2dd188,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,026a980e-e05d-4582-8455-c0d0f631d6fe,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
ec69ecd1-3f28-46d2-932f-75ad6d684362,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,27b55261-ead1-4940-98b3-c7c3f26dbe11,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
9b47f591-9425-4dac-b683-9e37daecd26a,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e0f2238c-281c-4ab1-818e-3ce212f29ba9,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
4b99b4da-fb3d-437b-a245-8bd5a4285045,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2a44740c-9e06-4f3a-b115-14a5da20f687,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
843f0964-0baa-4159-b3fd-4ce36731fda6,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,970605e0-9374-4e76-99fe-17940146a961,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
fe68510b-758c-4b16-8eb8-db770c3f21ef,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6fd5fa8d-d124-4ad5-ba4e-dffb738f01e4,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
